date,desktop,mobile,total
2024-01-16,4,2,6
2024-01-18,1,0,1
2024-01-20,1,0,1
2024-01-21,2,2,4
2024-01-23,1,1,2
2024-01-24,1,1,2
2024-01-25,6,0,6
2024-01-29,1,0,1
2024-01-31,1,1,2
2024-02-01,2,0,2
2024-02-05,1,0,1
2024-02-07,1,0,1
2024-02-08,0,1,1
2024-02-11,2,1,3
2024-02-15,2,0,2
2024-02-16,1,0,1
2024-02-17,3,0,3
2024-02-19,0,2,2
2024-02-20,2,0,2
2024-02-21,0,1,1
2024-02-22,1,0,1
2024-02-23,1,0,1
2024-02-27,1,1,2
2024-02-29,0,3,3
2024-03-02,0,1,1
2024-03-03,1,1,2
2024-03-05,1,0,1
2024-03-08,3,1,4
2024-03-09,1,0,1
2024-03-10,1,0,1
2024-03-14,0,1,1
2024-03-17,1,0,1
2024-03-18,2,2,4
2024-03-19,8,0,8
2024-03-20,1,0,1
2024-03-23,0,1,1
2024-03-24,0,1,1
2024-03-25,1,0,1
2024-03-26,0,1,1
2024-03-27,1,0,1
2024-03-28,1,0,1
2024-03-31,6,4,10
2024-04-01,3,0,3
2024-04-03,3,1,4
2024-04-05,1,0,1
2024-04-06,0,1,1
2024-04-08,0,1,1
2024-04-13,0,1,1
2024-04-15,2,0,2
2024-04-17,1,2,3
2024-04-18,3,0,3
2024-04-19,2,0,2
2024-04-20,1,0,1
2024-04-21,1,1,2
2024-04-25,1,0,1
2024-04-27,1,0,1
2024-04-28,0,1,1
2024-04-29,1,0,1
2024-04-30,0,1,1
2024-05-03,1,0,1
2024-05-04,1,0,1
2024-05-08,0,3,3
2024-05-10,2,3,5
2024-05-11,0,2,2
2024-05-13,2,0,2
2024-05-14,2,3,5
2024-05-18,0,1,1
2024-05-20,0,2,2
2024-05-21,1,1,2
2024-05-22,1,0,1
2024-05-23,1,0,1
2024-05-27,2,2,4
2024-05-28,1,0,1
2024-05-29,3,0,3
2024-05-30,1,0,1
2024-05-31,0,1,1
2024-06-02,0,1,1
2024-06-03,1,3,4
2024-06-04,1,0,1
2024-06-05,2,0,2
2024-06-08,1,0,1
2024-06-11,0,1,1
2024-06-12,1,0,1
2024-06-13,4,2,6
2024-06-15,2,0,2
2024-06-16,2,0,2
2024-06-17,0,1,1
2024-06-19,2,0,2
2024-06-20,2,0,2
2024-06-21,0,1,1
2024-06-22,4,1,5
2024-06-23,1,0,1
2024-06-24,0,1,1
2024-06-26,4,0,4
2024-06-27,1,0,1
2024-06-30,2,0,2
2024-07-01,0,1,1
2024-07-03,1,0,1
2024-07-05,2,0,2
2024-07-06,0,1,1
2024-07-07,1,0,1
2024-07-08,1,0,1
2024-07-10,1,0,1
2024-07-11,2,0,2
2024-07-13,10,0,10
2024-07-14,0,2,2
2024-07-15,2,0,2
2024-07-16,1,0,1
2024-07-17,3,0,3
2024-07-19,0,1,1
2024-07-20,0,2,2
